order_time,original_product_id,age,price,age_range,prefecture,area,tab,big_category,middle_category,color,favorite,review
2017/01/01 0:00:00,1211431,32,592,30歳-34歳,大分県,九州,レディース,シューズ,パンプス,S,86,5
2015/01/04 0:00:00,306511,19,471,15歳-19歳,熊本県,九州,レディース,トップス,シャツ,M,240,4.13
2013/12/14 0:00:00,335146,30,2843,30歳-34歳,奈良県,近畿,レディース,ワンピース・ドレス,ワンピース,M（ショート丈）,1874,3.15
2015/06/17 0:00:00,462948,25,712,25歳-29歳,岡山県,中国,不明,,,M,68,4
2016/12/12 0:00:00,818091,43,1917,40歳-44歳,長野県,中部,レディース,シューズ,ムートンブーツ,M(001),21616,4.57
2013/04/15 0:00:00,207746,22,1886,20歳-24歳,神奈川県,関東,不明,,,M,737,4.46
2013/11/22 0:00:00,331502,24,7134,20歳-24歳,兵庫県,近畿,レディース,アウター,その他アウター,MIXグレー,100,3
2015/11/06 0:00:00,585629,25,2207,25歳-29歳,埼玉県,関東,レディース,ワンピース・ドレス,ワンピース,L(002),10479,4.4
2016/04/20 0:00:00,877543,44,2850,40歳-44歳,埼玉県,関東,レディース,ワンピース・ドレス,ワンピース,ブラック,498,0
2016/03/01 0:00:00,559207,44,3980,40歳-44歳,千葉県,関東,レディース,アウター,トレンチコート,LL,13326,4.09
2017/01/17 0:00:00,1435866,27,1233,25歳-29歳,大阪府,近畿,レディース,アクセサリー,時計,WHT,857,3
2015/02/06 0:00:00,692008,40,2835,40歳-44歳,群馬県,関東,レディース,ワンピース・ドレス,ワンピース,L,2348,3.07
2015/02/22 0:00:00,688480,21,2560,20歳-24歳,北海道,北海道,レディース,バッグ,トートバッグ,ブラック,36113,4.15
2012/10/21 0:00:00,112905,22,1886,20歳-24歳,宮城県,東北,不明,,,L,2007,3.17
2016/09/25 0:00:00,964458,37,896,35歳-39歳,大阪府,近畿,レディース,トップス,カットソー,M,191,4
2013/02/17 0:00:00,133825,47,1695,45歳-49歳,北海道,北海道,不明,,,ホワイト,1233,2.73
2016/12/10 0:00:00,1310164,36,890,35歳-39歳,北海道,北海道,レディース,アウター,ロングコート,ピンク,285,0
2014/11/08 0:00:00,486891,28,1082,25歳-29歳,東京都,関東,レディース,パンツ,スキニーパンツ,M(001),49484,4.08
2015/10/12 0:00:00,840267,33,3680,30歳-34歳,福島県,東北,レディース,スカート,ロングスカート,M(001),95,0
2015/07/28 0:00:00,258916,33,2067,30歳-34歳,埼玉県,関東,レディース,ワンピース・ドレス,ワンピース,半袖,5713,3.9
2015/06/22 0:00:00,739197,32,2000,30歳-34歳,福岡県,九州,レディース,ワンピース・ドレス,ワンピース,F,3436,3.47
2016/04/05 0:00:00,765006,20,2569,20歳-24歳,熊本県,九州,レディース,シューズ,サンダル,ライトブルー,431,4
2013/10/22 0:00:00,184984,28,4086,25歳-29歳,奈良県,近畿,レディース,シューズ,スニーカー,L(004),3676,4.34
2016/03/25 0:00:00,950533,25,1759,25歳-29歳,千葉県,関東,レディース,バッグ,リュック,オフホワイト,282,4
2014/02/01 0:00:00,344689,24,849,20歳-24歳,千葉県,関東,レディース,帽子,ニット帽,Mサイズ,664,3.94
2013/04/07 0:00:00,199752,23,1980,20歳-24歳,神奈川県,関東,不明,,,XL,350,3.7
